,name,text
0,Лето в стиле Samba,Это лето в стиле самба Мы танцуем в ритме мамбо Сделай всё как ты хотела Двигай-двигай своим телом Это лето в стиле самба Мы танцуем в ритме мамбо Ты уже давно вспотела Двигай-двигай своим телом Это лето в стиле самба Мы танцуем в ритме мамбо Сделай всё как ты хотела Двигай-двигай своим телом Это лето в стиле самба Мы танцуем в ритме мамбо Ты уже давно вспотела Двигай-двигай своим телом Это лето в стиле самба Мы танцуем в ритме мамбо Сделай всё как ты хотела Двигай-двигай своим телом Это лето в стиле самба Мы танцуем в ритме мамбо Ты уже давно вспотела Двигай-двигай своим телом Это лето в стиле самба Мы танцуем в ритме мамбо Сделай всё как ты хотела Двигай-двигай своим телом Это лето в стиле самба Мы танцуем в ритме мамбо Ты уже давно вспотела Двигай-двигай своим телом Это лето в стиле самба Мы танцуем в ритме мамбо Ты уже давно вспотела Двигай-двигай своим телом Это лето в стиле самба Мы танцуем в ритме мамбо Сделай всё как ты хотела Двигай-двигай своим телом Это лето в стиле самба Мы танцуем в ритме мамбо Сделай всё как ты хотела Двигай-двигай своим телом Это лето в стиле самба Мы танцуем в ритме мамбо Ты уже давно вспотела Двигай-двигай своим телом
1,Расстались,"Зачем же мы расстались, мы расстались И возвратить любовь не пытались? И все же мы расстались, мы расстались, мы расстались. С тобою мы расстались, мы расстались И так тепло с тобой попрощались. Одни с тобой остались, мы остались, мы остались. Мы вчера с тобой встретились случайно, Целый год прошел после расставанья. Замечаю я - ты так изменилась, В жизни у тебя что-то не сложилось. И глаза в глаза смотрим мы печально, Вспоминаем мы первые свиданья. Унесло любовь облаками белыми, Что же мы наделали?! Зачем же мы расстались, мы расстались И возвратить любовь не пытались? И все же мы расстались, мы расстались, мы расстались. С тобою мы расстались, мы расстались И так тепло с тобой попрощались. Одни с тобой остались, мы остались, мы остались. Опустели улицы, не горят огни, На проспекте Ленина мы стоим одни. Не хочу тебя я оставлять одну, Почему ты плачешь?, плакать ни к чему. Со щеки ладошкой вытираешь слезы, Говоришь: Сережа, это не серьезно. Унесло любовь облаками белыми. Что же мы наделали?! Зачем же мы расстались, мы расстались И возвратить любовь не пытались? И все же мы расстались, мы расстались, мы расстались. С тобою мы расстались, мы расстались И так тепло с тобой попрощались."
2,Девочки колхозницы,"А девочки танцуют, у девчонок выходной Платье новое надели, взяли мальчиков с собой Будут снова веселиться, будут снова танцевать До свиданья мама с папой, мы идём любовь искать А в колхозе вечером делать было нечего Собрались мы вечером за одним столом Парни все отличные, пацаны приличные Вот сидим-скучаем, мы девчонок ждём А девочки-красавицы в город собираются Танцы в нашем сельском клубе – это не для них Ах, какие модницы девочки-колхозницы Чем же наши дискотэки хуже городских ? Девочки танцуют, у девчонок выходной Платье новое надели, взяли мальчиков с собой Будут снова веселиться, будут снова танцевать До свиданья мама с папой, мы идём любовь искать А в колхозе вечером делать было нечего В город за девчонками соберемся мы Девочки-красавицы в городских влюбляются Чем же вам не нравятся наши пацаны Скоро, очень скоро мы приедем в город Заберем своих девчонок на глазах у всех Собирайтесь, модницы, девочки-колхозницы Даже в нашем сельском клубе крутят “Руки Вверх” Девочки танцуют, у девчонок выходной Платье новое надели, взяли мальчиков с собой Будут снова веселиться, будут снова танцевать До свиданья мама с папой… Девочки танцуют, у девчонок выходной Платье новое надели, взяли мальчиков с собой Будут снова веселиться, будут снова танцевать До свиданья мама с папой, мы идём любовь искать Девочки танцуют Платье новое надели Будут снова веселиться До свиданья мама с папой, мы идём любовь искать Девочки танцуют, у девчонок выходной Платье новое надели, взяли мальчиков с собой Будут снова веселиться, будут снова танцевать До свиданья мама с папой, мы идём любовь искать"
3,Институтка,Тебя я заметил за стойкой буфета К тебе подошел я пардон как дела А ты попросила одну сигарету Сказала свободно налейте вина Ведь ты ж институтка и фея из бара И красная р-р-роза летучая мышь Вино и мужчины твоя атмосфэра И каждую ночь тебе снится Париж А в оркестре играла гитара и скрипка С тобой танцевали а-танго до утра Вы мне прошептали достаточно виски Я за целую ночь опьянеть не смогла Ведь я институтка я фея из бара Я красная роза летучая мышь Вино и мужчины моя атмосфэра И каждую ночь мне снится Париж Ведь ты ж институтка и фея из бара Ты красная роза летучая мышь Вино и мужчины твоя атмосфэра И каждую ночь тебе снится Париж Тебе снится Париж
4,Больно,"Прошепчу ласково - Дай судьбу твою сделать сказкою! Расцвести белой розою, Быть с тобою дождями и грозами. Улететь в край неземной. Счастье разделить на двоих с тобой. Как же так получается? Почему в тебя все влюбляются? Не больно, не больно, не больно падать вниз! Я умоляю, я кричу - Ко мне вернись! На волю, на волю, на волю, на волю стаи птиц! Но больно, но больно! Без крыльев так больно мне падать вниз... Прошепчу ласково - С кем, как не со мной, будешь счастлива? С кем еще поделишься бедами? Встретишь с кем закаты с рассветами? Я прошу, ты пойми! Без тебя не жить... Без твоей любви... Как же так получается? Ну почему в тебя все влюбляются? Не больно, не больно, не больно падать вниз! Я умоляю, я кричу - Ко мне вернись! На волю, на волю, на волю, на волю стаи птиц! Но больно, но больно! Без крыльев так больно мне падать вниз..."
5,"Прошу, не молчи","Прошу, не молчи, скажи мне опять, Что будешь меня из армии ждать. Пусть письма летят, в них строчки любви для тебя Каждый раз... Прошу, не молчи, скажи мне опять, Что будешь меня из армии ждать. Пусть письма летят, в них строчки любви для тебя. Сложно тебя забыть, Чувства мои не скрыть. Губы кусаю в кровь. Может быть это любовь. Целых два года ждать И без тебя засыпать. На расстояньи любить Ведь так сложно... Фото твоё храню, Верю, надеюсь, люблю. Губы кусаю в кровь. Я сохраню любовь. Помнит тебя солдат И возвратится назад. Мне без тебя одной Жить так сложно... Прошу, не молчи, скажи мне опять, Что будешь меня из армии ждать. Пусть письма летят, в них строчки любви для тебя Каждый раз... И снова Прошу, не молчи, скажи мне опять, Что будешь меня из армии ждать. Пусть письма летят, в них строчки любви для тебя. Снится, что мы вдвоём. Но по тревоге подъем, Утренний марш-бросок. Горы, жара, песок. Целых два года ждать И без тебя засыпать. На расстояньи любить Ведь так сложно... Письма к тебе летят. В горы идёт отряд. Снова идём на риск. Только меня дождись. Помнит тебя солдат И возвратится назад. Мне без тебя одной Жить так сложно... Прошу, не молчи, скажи мне опять, Что будешь меня из армии ждать. Пусть письма летят, в них строчки любви для тебя Каждый раз... Прошу, не молчи, скажи мне опять, Что будешь меня из армии ждать. Пусть письма летят, в них строчки любви для тебя Каждый раз..."
6,Отель,"В тёмной комнате отеля тихо, как всегда, Не уснёшь в чужой постели — будешь ждать меня До утра, до утра... В тёмной комнате отеля только ты и я, Принесите два коктейля в номер двадцать два, Как всегда, двадцать два... Зимней сказкой, Просто здравствуй, малыш, Что молчишь? Только с рейса, Сядь, погрейся, малыш, Ведь с утра ты опять улетишь, улетишь... В тёмной комнате отеля тихо, как всегда, Не уснёшь в чужой постели — будешь ждать меня До утра, до утра... В тёмной комнате отеля только ты и я, Принесите два коктейля в номер двадцать два, Как всегда, двадцать два... Стихли звуки, Греешь руки, У огня ты и я, Как же грустно —  Пропасть в чувствах, малыш, Но ко мне ты опять прилетишь, прилетишь В тёмной комнате отеля тихо, как всегда, Не уснёшь в чужой постели — будешь ждать меня До утра, до утра... В тёмной комнате отеля только ты и я, Принесите два коктейля в номер двадцать два, Как всегда, двадцать два..."
7,Эни-бени,"Мы с тобой в одной квартире, Лягте на пол три-четыре Начинаем медленно движенье. Громче музыку включаем И все вместе начинаем Это непростое упражненье Эни-Бени, люки-паки, Тюль-буль-буль, каляки-шмаки Эус-деус, кислотеус, эй-ё. Эни-Бени, люки-паки, Тюль-буль-буль, каляки-шмаки Эус-деус, кислотеус, эй-ё. Мы с тобой в одной квартире, Сядьте на пол три-четыре Отожмемся 10 раз от пола Холодильник закрываем Лишний вес не набираем Ты же должен стать звездой танцпола Эни-Бени, люки-паки, Тюль-буль-буль, каляки-шмаки Эус-деус, кислотеус, эй-ё. Эни-Бени, люки-паки, Тюль-буль-буль, каляки-шмаки Эус-деус, кислотеус, эй-ё. Мы с тобой в одной квартире, Все сбежались три-четыре Тяжела судьба звезды танцпола В общем, говоря по-русски, Кто не выдержал нагрузки Запишитесь в секцию футбола Эни-Бени, люки-паки, Тюль-буль-буль, каляки-шмаки Эус-деус, кислотеус, эй-ё. Эни-Бени, люки-паки, Тюль-буль-буль, каляки-шмаки Эус-деус, кислотеус, эй-ё."
8,Fuckin Rock n Roll,"Куртки кожаны, джинсы рваные, Парни крепкие, парни бравые Пиво в баночках, жуть компания Все фанаты на группы «Ария» Вот подходит к нам парень с рацией Предъявите на регистрацию Мы же рокеры, мы из Питера Вы не злите нас, на идите на Куртки кожаны, майки рваные, Кто то трезвый на, кто-то пьяный на На концерте мы отрываемся Ближе к сцене мы прорываемся Припираются к нам секьюрити Что вы в зрительном зале курите Мы же рокеры, мы же стали на Все, идите на, все достали на Куртки кожаны, джинсы рваные, Где Катюха ты пропадала на Я на лавочке с местным байкером Обменялася рваной майкою Познакомилась, кстати, с мальчиком Вон на сцене он – барабанщик на Я мозги ему долго парила Мы же рокеры, мы с Урала на Куртки новые, джинсы клеевые Что не песня на - то хитовая Что, народ-то там собирается? Потихонечку напивается. Передайте там осветителю, Что мы русские АCDC на Все, последний раз наливаем. Все на сцену на, все лабаем на."
9,Наташа,"Наташа, Наташа Ты моё сердце и душа Наташа, Наташа Как в небе солнце мне нужна Наташа, Наташа Ну до чего ж ты хороша Наташа, Наташа... Наташа, Наташа Ты моё сердце и душа Наташа, Наташа Как в небе солнце мне нужна Наташа, Наташа Ну до чего ж ты хороша Наташа, Наташа... Ты не едешь, ты не едешь В наш красивый край Я скучаю, я скучаю Поскорее приезжай Я накрою, я накрою Свой богатый стол И я счастлив, и я счастлив Что тебя нашёл Наташа, Наташа Ты моё сердце и душа Наташа, Наташа Как в небе солнце мне нужна Наташа, Наташа Ну до чего ж ты хороша Наташа, Наташа... Где-то далеко-далёко Там, где холода Ждёт меня моя Наташа Ждёт меня моя звезда Я люблю тебя, Наташа Ты так часто снишься мне Я скучаю, я скучаю Приезжай скорей ко мне Наташа, Наташа Ты моё сердце и душа Наташа, Наташа Как в небе солнце мне нужна Наташа, Наташа Ну до чего ж ты хороша Наташа, Наташа... Наташа, Наташа Ты моё сердце и душа Наташа, Наташа Как в небе солнце мне нужна Наташа, Наташа Ну до чего ж ты хороша Наташа, Наташа..."
